id,question,answer,category,source
15,What is the difference between Alzheimer's and normal aging?,"Normal aging: occasionally forgetting names but remembering later, making occasional errors. Alzheimer's: forgetting recently learned information repeatedly, forgetting names of close family, getting lost in familiar places.",neurology,MedQuAD
16,What is rheumatoid arthritis?,"RA is an autoimmune disease where the immune system mistakenly attacks the joint lining (synovium), causing inflammation, pain, swelling, and eventual joint damage. Unlike osteoarthritis, RA is symmetrical and systemic.",rheumatology,MedQuAD
17,How is rheumatoid arthritis treated?,"DMARDs (disease-modifying antirheumatic drugs) like methotrexate are first-line. Biologics (TNF inhibitors like etanercept, adalimumab) for moderate-severe disease. NSAIDs and corticosteroids for symptom relief.",rheumatology,MedQuAD
18,What causes kidney stones and how are they treated?,"Causes: dehydration, high oxalate/sodium diet, obesity, family history. Small stones pass with high fluid intake and pain relief. Larger stones require shock wave lithotripsy, ureteroscopy, or surgery.",nephrology,MedQuAD
19,What are the stages of chronic kidney disease?,"CKD has 5 stages based on GFR (glomerular filtration rate): Stage 1 (GFR ≥90), Stage 2 (60-89), Stage 3 (30-59), Stage 4 (15-29), Stage 5/End-stage (< 15). Stage 5 requires dialysis or transplant.",nephrology,MedQuAD
20,What is hypothyroidism and what are its symptoms?,"Hypothyroidism occurs when the thyroid gland produces insufficient thyroid hormone. Symptoms: fatigue, weight gain, cold intolerance, constipation, dry skin, hair loss, slow heart rate, depression, and memory problems.",endocrinology,MedQuAD
21,What is the treatment for hypothyroidism?,"The standard treatment is daily oral levothyroxine (synthetic T4). Dosage is adjusted based on TSH blood levels. Most patients require lifelong treatment. Medication should be taken on an empty stomach.",endocrinology,MedQuAD
22,What is a stroke and what are its warning signs?,"A stroke occurs when blood supply to part of the brain is interrupted. FAST acronym: Face drooping, Arm weakness, Speech difficulty, Time to call emergency services. Also sudden severe headache, vision loss, loss of balance.",neurology,MedQuAD
23,What is the difference between an ischemic and hemorrhagic stroke?,"Ischemic stroke (87% of cases): caused by a blood clot blocking a brain artery. Hemorrhagic stroke: caused by a ruptured blood vessel bleeding into/around the brain. Treatment differs significantly.",neurology,MedQuAD
24,What are the symptoms of celiac disease?,"Digestive symptoms: diarrhea, bloating, abdominal pain. Non-digestive: fatigue, anemia, bone/joint pain, skin rash (dermatitis herpetiformis), mouth ulcers. Some have no digestive symptoms (silent celiac).",gastroenterology,MedQuAD
25,How is celiac disease diagnosed and treated?,"Diagnosis: blood tests for tTG-IgA antibodies + small intestine biopsy (gold standard). Treatment: strict lifelong gluten-free diet (no wheat, barley, rye). Most patients improve within weeks of diet change.",gastroenterology,MedQuAD
26,What is sepsis and how dangerous is it?,"Sepsis is a life-threatening organ dysfunction caused by dysregulated immune response to infection. Severe sepsis and septic shock have 20-40% mortality. Requires emergency treatment with IV antibiotics and fluids.",infectious_disease,MedQuAD
27,What are the symptoms of a urinary tract infection (UTI)?,"Frequent, urgent need to urinate; burning sensation during urination; cloudy or strong-smelling urine; pelvic pain (in women); blood in urine. Upper UTI (pyelonephritis) also causes fever, chills, back pain.",infectious_disease,MedQuAD
28,What is psoriasis and how is it treated?,"Psoriasis is a chronic autoimmune condition causing rapid skin cell buildup, resulting in scales and red patches. Treatments: topical corticosteroids, vitamin D analogues, phototherapy, biologics (TNF inhibitors, IL-17 inhibitors).",dermatology,MedQuAD
29,What is the difference between type 1 and type 2 diabetes?,"Type 1: autoimmune destruction of pancreatic beta cells, requires insulin, typically diagnosed in youth. Type 2: insulin resistance + relative insulin deficiency, managed with lifestyle/oral medications/insulin, typically adult onset.",diabetes,MedQuAD
30,What are the risk factors for colorectal cancer?,"Risk factors: age >50, family history of CRC or polyps, personal history of IBD, red/processed meat diet, obesity, physical inactivity, smoking, heavy alcohol use, type 2 diabetes. Screening colonoscopy recommended from age 45.",oncology,MedQuAD
